gene_name	drug_name	interaction_types
TRPA1	(-)-OLEOCANTHAL	activator
ADRA1A	(+)-CYCLAZOSIN	antagonist
ADRA1B	(+)-CYCLAZOSIN	antagonist
BIRC5	(7S)-HYDROXYL-STAUROSPORINE	
CDK2	(7S)-HYDROXYL-STAUROSPORINE	inhibitor
CDK4	(7S)-HYDROXYL-STAUROSPORINE	inhibitor
CDK6	(7S)-HYDROXYL-STAUROSPORINE	inhibitor
CHEK1	(7S)-HYDROXYL-STAUROSPORINE	
CHEK1	(7S)-HYDROXYL-STAUROSPORINE	inhibitor
DIABLO	(7S)-HYDROXYL-STAUROSPORINE	
PDK1	(7S)-HYDROXYL-STAUROSPORINE	inhibitor
PRKCA	(7S)-HYDROXYL-STAUROSPORINE	inhibitor
PRKCB	(7S)-HYDROXYL-STAUROSPORINE	inhibitor
PRKCD	(7S)-HYDROXYL-STAUROSPORINE	inhibitor
PRKCE	(7S)-HYDROXYL-STAUROSPORINE	inhibitor
PRKCG	(7S)-HYDROXYL-STAUROSPORINE	inhibitor
PRKCH	(7S)-HYDROXYL-STAUROSPORINE	inhibitor
PRKCI	(7S)-HYDROXYL-STAUROSPORINE	inhibitor
PRKCQ	(7S)-HYDROXYL-STAUROSPORINE	inhibitor
PRKCZ	(7S)-HYDROXYL-STAUROSPORINE	inhibitor
PRKD1	(7S)-HYDROXYL-STAUROSPORINE	inhibitor
PRKD3	(7S)-HYDROXYL-STAUROSPORINE	inhibitor
SLC2A4	(7S)-HYDROXYL-STAUROSPORINE	
XIAP	(7S)-HYDROXYL-STAUROSPORINE	
FDPS	(CYCLOHEXYLAMINO)METHYLENEDIPHOSPHONIC ACID	inhibitor
GRIN2A	(D)-SERINE	agonist
GRIN2B	(D)-SERINE	agonist
GRIN2C	(D)-SERINE	agonist
TAAR1	(R)-CYSTEINE	agonist
ADORA1	(R)-PIA	agonist
ADORA2A	(R)-PIA	agonist
ADORA2B	(R)-PIA	agonist
ADORA3	(R)-PIA	agonist
HTR3B	(R)ZACOPRIDE	antagonist
GRIA1	(R,S)-AMPA	agonist
GRIA1	(R,S)-AMPA	agonist
GRIA2	(R,S)-AMPA	agonist
GRIA2	(R,S)-AMPA	agonist
GRIA4	(R,S)-AMPA	agonist
GRIA4	(R,S)-AMPA	agonist
ADORA1	(S)-PIA	agonist
ADORA2A	(S)-PIA	agonist
ADORA2B	(S)-PIA	agonist
ADORA3	(S)-PIA	agonist
AR	(S,S)-FIDARESTAT	inhibitor
SIGMAR1	[11C]SA4503	
SLC6A4	[3H]CITALOPRAM	inhibitor
HTR2A	[3H]KETANSERIN	antagonist
HTR2B	[3H]LSD	agonist
HTR2C	[3H]LSD	agonist
HTR6	[3H]LSD	agonist
SERPINA3	[3H]LSD	agonist
DRD2	[3H]NEMONAPRIDE	antagonist
DRD3	[3H]NEMONAPRIDE	antagonist
SLC6A2	[3H]NISOXETINE	inhibitor
SLC6A4	[3H]PAROXETINE	inhibitor
PTGDR	[3H]PGD2	agonist
PTGDR2	[3H]PGD2	agonist
ADORA2A	[3H]-ZM-241385	antagonist
ADORA2B	[3H]-ZM-241385	antagonist
ADORA1	1,3-DIPROPYL-8-CYCLOPENTYLXANTHINE [DPCPX]	antagonist
ADORA2A	1,3-DIPROPYL-8-CYCLOPENTYLXANTHINE [DPCPX]	antagonist
ADORA2B	1,3-DIPROPYL-8-CYCLOPENTYLXANTHINE [DPCPX]	antagonist
ADORA3	1,3-DIPROPYL-8-CYCLOPENTYLXANTHINE [DPCPX]	antagonist
